Place,Competitor,DOB,Nationality,Score,Date,res,city
1, Kelvin KIPTUM,02 DEC 1999, KEN, 1504, 08 OCT 2023,USA,Chicago
1, Kelvin KIPTUM,02 DEC 1999, KEN, 1504, 23 APR 2023,GBR,London
2, Tamirat TOLA,11 AUG 1991, ETH, 1457, 05 NOV 2023,USA,New York
2, Tamirat TOLA,11 AUG 1991, ETH, 1457, 27 AUG 2023,Hősök tere,Budapest 2023
2, Tamirat TOLA,11 AUG 1991, ETH, 1457, 23 APR 2023,GBR,London
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 08 OCT 2023,USA,Chicago
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 25 JUN 2023,USA,Boston
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 17 APR 2023,USA,Boston
3, Benson KIPRUTO,17 MAR 1991, KEN, 1438, 26 FEB 2023,MEX,Guadalajara
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 03 DEC 2023,ESP,Valencia
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 08 OCT 2023,TUR,Ankara
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 07 MAY 2023,CZE,Praha
4, Sisay LEMMA,12 DEC 1990, ETH, 1422, 05 MAR 2023,JPN,Tokyo
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 03 DEC 2023,ESP,Valencia
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 15 OCT 2023,JPN,Tokyo
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 02 SEP 2023,CZE,Praha
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 12 JUL 2023,JPN,Municipal Stadium
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 27:47.56 ,JPN,Hokuren Distance Challenge 2023 - Abashiri
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 07 MAY 2023,CZE,Praha
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 28:43.42 ,CZE,2nd Athletics Kenya Weekend Meeting
5, Alexander MUNYAO,10 SEP 1996, KEN, 1419, 05 FEB 2023,JPN,Marugame
6, Bashir ABDI,10 FEB 1989, BEL, 1406, 08 OCT 2023,USA,Chicago
6, Bashir ABDI,10 FEB 1989, BEL, 1406, DNF ,Boudewijnstadion,Memorial van Damme
6, Bashir ABDI,10 FEB 1989, BEL, 1406, 16 APR 2023,NED,Rotterdam
6, Bashir ABDI,10 FEB 1989, BEL, 1406, 12 MAR 2023,BEL,Gent - Belgian Half Marathon Ch
7, CyBrian KOTUT,06 JUN 1992, KEN, 1392, 15 OCT 2023,NED,Amsterdam
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 24 SEP 2023,GER,Berlin
8, Vincent Kipkemoi NGETICH,03 JAN 1999, KEN, 1388, 30 APR 2023,TUR,Istanbul
